"subject" "problem" "trial" "choice" "condition" "pHa" "La" "Hb" "pHb" "Lb" "LotNum"
"1" 1 32 1 0 "ByProb" 0.75 -4 82 0.25 3 1
"2" 1 32 2 0 "ByProb" 0.75 -4 82 0.25 3 1
"3" 1 32 3 0 "ByProb" 0.75 -4 82 0.25 3 1
"4" 1 32 4 0 "ByProb" 0.75 -4 82 0.25 3 1
"5" 1 32 5 0 "ByProb" 0.75 -4 82 0.25 3 1
"6" 1 32 6 0 "ByProb" 0.75 -4 82 0.25 3 1
"7" 1 32 7 0 "ByProb" 0.75 -4 82 0.25 3 1
"8" 1 32 8 0 "ByProb" 0.75 -4 82 0.25 3 1
"9" 1 32 9 0 "ByProb" 0.75 -4 82 0.25 3 1
"10" 1 32 10 0 "ByProb" 0.75 -4 82 0.25 3 1
"11" 1 32 11 0 "ByProb" 0.75 -4 82 0.25 3 1
"12" 1 32 12 0 "ByProb" 0.75 -4 82 0.25 3 1
"13" 1 32 13 0 "ByProb" 0.75 -4 82 0.25 3 1
"14" 1 32 14 0 "ByProb" 0.75 -4 82 0.25 3 1
"15" 1 32 15 0 "ByProb" 0.75 -4 82 0.25 3 1
"16" 1 32 16 0 "ByProb" 0.75 -4 82 0.25 3 1
"17" 1 32 17 0 "ByProb" 0.75 -4 82 0.25 3 1
"18" 1 32 18 0 "ByProb" 0.75 -4 82 0.25 3 1
"19" 1 32 19 0 "ByProb" 0.75 -4 82 0.25 3 1
"20" 1 32 20 0 "ByProb" 0.75 -4 82 0.25 3 1
"21" 1 32 21 0 "ByProb" 0.75 -4 82 0.25 3 1
"22" 1 32 22 0 "ByProb" 0.75 -4 82 0.25 3 1
"23" 1 32 23 0 "ByProb" 0.75 -4 82 0.25 3 1
"24" 1 32 24 0 "ByProb" 0.75 -4 82 0.25 3 1
"25" 1 32 25 0 "ByProb" 0.75 -4 82 0.25 3 1
"2115" 1 33 1 0 "ByProb" 1 -3 14 0.4 -22 1
"2130" 1 33 2 1 "ByProb" 1 -3 14 0.4 -22 1
"2131" 1 33 3 1 "ByProb" 1 -3 14 0.4 -22 1
"2336" 1 33 4 1 "ByProb" 1 -3 14 0.4 -22 1
"2216" 1 33 5 1 "ByProb" 1 -3 14 0.4 -22 1
"2217" 1 33 6 1 "ByProb" 1 -3 14 0.4 -22 1
"2218" 1 33 7 1 "ByProb" 1 -3 14 0.4 -22 1
"2219" 1 33 8 1 "ByProb" 1 -3 14 0.4 -22 1
"2220" 1 33 9 1 "ByProb" 1 -3 14 0.4 -22 1
"2221" 1 33 10 1 "ByProb" 1 -3 14 0.4 -22 1
"2222" 1 33 11 1 "ByProb" 1 -3 14 0.4 -22 1
"2223" 1 33 12 1 "ByProb" 1 -3 14 0.4 -22 1
"2224" 1 33 13 0 "ByProb" 1 -3 14 0.4 -22 1
"2225" 1 33 14 0 "ByProb" 1 -3 14 0.4 -22 1
"2226" 1 33 15 0 "ByProb" 1 -3 14 0.4 -22 1
"2227" 1 33 16 1 "ByProb" 1 -3 14 0.4 -22 1
"2228" 1 33 17 1 "ByProb" 1 -3 14 0.4 -22 1
"2229" 1 33 18 0 "ByProb" 1 -3 14 0.4 -22 1
"2230" 1 33 19 0 "ByProb" 1 -3 14 0.4 -22 1
"2231" 1 33 20 0 "ByProb" 1 -3 14 0.4 -22 1
"2232" 1 33 21 0 "ByProb" 1 -3 14 0.4 -22 1
"2233" 1 33 22 0 "ByProb" 1 -3 14 0.4 -22 1
