"subject" "problem" "trial" "choice" "condition" "type" "pHa" "La" "Hb" "pHb" "Lb" "LotNum" "LotShape" "Corr" "Amb"
"1" 1 13 1 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"2" 1 13 2 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"3" 1 13 3 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"4" 1 13 4 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"5" 1 13 5 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"6" 1 13 6 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"7" 1 13 7 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"8" 1 13 8 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"9" 1 13 9 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"10" 1 13 10 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"11" 1 13 11 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"12" 1 13 12 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"13" 1 13 13 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"14" 1 13 14 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"15" 1 13 15 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"16" 1 13 16 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"17" 1 13 17 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"18" 1 13 18 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"19" 1 13 19 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"20" 1 13 20 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"21" 1 13 21 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"22" 1 13 22 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"23" 1 13 23 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"24" 1 13 24 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"25" 1 13 25 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"3670" 1 19 1 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3307" 1 19 2 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3308" 1 19 3 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3430" 1 19 4 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3431" 1 19 5 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3311" 1 19 6 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3312" 1 19 7 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4406" 1 19 8 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4407" 1 19 9 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4408" 1 19 10 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4409" 1 19 11 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4410" 1 19 12 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4047" 1 19 13 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4048" 1 19 14 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4049" 1 19 15 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4050" 1 19 16 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4051" 1 19 17 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4052" 1 19 18 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4053" 1 19 19 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4418" 1 19 20 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4419" 1 19 21 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"4420" 1 19 22 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3692" 1 19 23 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3693" 1 19 24 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"3694" 1 19 25 0 "ByProb" "StPetersburg - CoinToss" 1 9 9 1 9 8 "R-skew" 0 0
"6324" 1 20 1 0 "ByProb" "StPetersburg - Abstract" 1 9 9 1 9 8 "R-skew" 0 0
"6365" 1 20 2 0 "ByProb" "StPetersburg - Abstract" 1 9 9 1 9 8 "R-skew" 0 0
"6610" 1 20 3 0 "ByProb" "StPetersburg - Abstract" 1 9 9 1 9 8 "R-skew" 0 0
"6611" 1 20 4 0 "ByProb" "StPetersburg - Abstract" 1 9 9 1 9 8 "R-skew" 0 0
"6613" 1 20 5 0 "ByProb" "StPetersburg - Abstract" 1 9 9 1 9 8 "R-skew" 0 0
