"problem" "Ha" "pHa" "La" "Hb" "pHb" "Lb" "LotNum" "LotShape" "Corr" "Amb"
"1" 1 3 1 3 4 0.8 0 1 "-" 0 0
"2" 2 3 0.25 0 4 0.2 0 1 "-" 0 0
"3" 3 -1 1 -1 0 0.5 -2 1 "-" 0 0
"4" 4 1 1 1 2 0.5 0 1 "-" 0 0
"5" 5 -3 1 -3 0 0.2 -4 1 "-" 0 0
"6" 6 0 0.75 -3 0 0.8 -4 1 "-" 0 0
"7" 7 -1 1 -1 0 0.95 -20 1 "-" 0 0
"8" 8 1 1 1 20 0.05 0 1 "-" 0 0
"9" 9 1 1 1 100 0.01 0 1 "-" 0 0
"10" 10 2 1 2 101 0.01 1 1 "-" 0 0
"11" 11 19 1 19 20 0.9 -20 1 "-" 0 0
"12" 12 0 1 0 50 0.5 -50 1 "-" 0 0
"13" 13 0 1 0 50 0.5 -50 1 "-" 0 0
"14" 14 0 1 0 1 0.5 -1 1 "-" 0 0
"15" 15 7 1 7 50 0.5 1 1 "-" 0 0
"16" 16 7 1 7 50 0.5 -1 1 "-" 0 0
"17" 17 30 1 30 50 0.5 1 1 "-" 0 0
"18" 18 30 1 30 50 0.5 -1 1 "-" 0 0
"19" 19 9 1 9 9 1 9 8 "R-skew" 0 0
"20" 20 9 1 9 9 1 9 8 "R-skew" 0 0
"21" 21 10 0.5 0 10 0.5 0 1 "-" 0 1
"22" 22 10 0.1 0 10 0.1 0 1 "-" 0 1
"23" 23 10 0.9 0 10 0.9 0 1 "-" 0 1
"24" 24 -2 1 -2 -1 0.5 -3 1 "-" 0 0
"25" 25 2 1 2 3 0.5 1 1 "-" 0 0
"26" 26 16 1 16 50 0.4 1 1 "-" 0 0
"27" 27 16 1 16 48 0.4 1 3 "L-skew" 0 0
"28" 28 6 0.5 0 9 0.5 0 1 "-" -1 0
"29" 29 2 1 2 3 1 3 1 "-" 0 0
"30" 30 6 0.5 0 8 0.5 0 1 "-" 1 0
