"subject" "problem" "trial" "choice" "condition" "task" "pHa" "La" "Hb" "pHb" "Lb" "LotNum" "LotShape" "Corr" "Amb"
"1" 1 13 1 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"2" 1 13 2 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"3" 1 13 3 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"4" 1 13 4 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"5" 1 13 5 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"6" 1 13 6 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"7" 1 13 7 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"8" 1 13 8 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"9" 1 13 9 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"10" 1 13 10 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"11" 1 13 11 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"12" 1 13 12 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"13" 1 13 13 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"14" 1 13 14 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"15" 1 13 15 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"16" 1 13 16 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"17" 1 13 17 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"18" 1 13 18 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"19" 1 13 19 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"20" 1 13 20 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"21" 1 13 21 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"22" 1 13 22 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"23" 1 13 23 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"24" 1 13 24 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"25" 1 13 25 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"26" 1108 13 1 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"27" 1108 13 2 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"28" 1108 13 3 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"29" 1108 13 4 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"30" 1108 13 5 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"31" 1108 13 6 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"32" 1108 13 7 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"33" 1108 13 8 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"34" 1108 13 9 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"35" 1108 13 10 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"36" 1108 13 11 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"37" 1108 13 12 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"38" 1108 13 13 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"39" 1108 13 14 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"40" 1108 13 15 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"41" 1108 13 16 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"42" 1108 13 17 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"43" 1108 13 18 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"44" 1108 13 19 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"45" 1108 13 20 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"46" 1108 13 21 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"47" 1108 13 22 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"48" 1108 13 23 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"49" 1108 13 24 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"50" 1108 13 25 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"51" 6 13 19 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"52" 6 13 20 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"53" 6 13 21 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"54" 6 13 22 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"55" 6 13 23 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"56" 6 13 24 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"57" 6 13 25 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"58" 1113 13 1 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"59" 1113 13 2 1 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
"60" 1113 13 3 0 "ByProb" "acceptReject" 1 0 50 0.5 -50 1 "-" 0 0
