"subject" "problem" "trial" "choice" "condition" "pHa" "La" "Hb" "pHb" "Lb" "LotNum"
"1" 1 1 1 1 "ByProb" 1 3 4 0.8 0 1
"2" 1 1 2 1 "ByProb" 1 3 4 0.8 0 1
"3" 1 1 3 1 "ByProb" 1 3 4 0.8 0 1
"4" 1 1 4 1 "ByProb" 1 3 4 0.8 0 1
"5" 1 1 5 1 "ByProb" 1 3 4 0.8 0 1
"6" 1 1 6 1 "ByProb" 1 3 4 0.8 0 1
"7" 1 1 7 1 "ByProb" 1 3 4 0.8 0 1
"8" 1 1 8 1 "ByProb" 1 3 4 0.8 0 1
"9" 1 1 9 1 "ByProb" 1 3 4 0.8 0 1
"10" 1 1 10 1 "ByProb" 1 3 4 0.8 0 1
"11" 1 1 11 1 "ByProb" 1 3 4 0.8 0 1
"12" 1 1 12 1 "ByProb" 1 3 4 0.8 0 1
"13" 1 1 13 1 "ByProb" 1 3 4 0.8 0 1
"14" 1 1 14 1 "ByProb" 1 3 4 0.8 0 1
"15" 1 1 15 1 "ByProb" 1 3 4 0.8 0 1
"16" 1 1 16 1 "ByProb" 1 3 4 0.8 0 1
"17" 1 1 17 1 "ByProb" 1 3 4 0.8 0 1
"18" 1 1 18 1 "ByProb" 1 3 4 0.8 0 1
"19" 1 1 19 1 "ByProb" 1 3 4 0.8 0 1
"20" 1 1 20 1 "ByProb" 1 3 4 0.8 0 1
"21" 1 1 21 1 "ByProb" 1 3 4 0.8 0 1
"22" 1 1 22 1 "ByProb" 1 3 4 0.8 0 1
"23" 1 1 23 1 "ByProb" 1 3 4 0.8 0 1
"24" 1 1 24 1 "ByProb" 1 3 4 0.8 0 1
"25" 1 1 25 1 "ByProb" 1 3 4 0.8 0 1
"4403" 1 2 1 1 "ByProb" 0.25 0 4 0.2 0 1
"4404" 1 2 2 1 "ByProb" 0.25 0 4 0.2 0 1
"4405" 1 2 3 1 "ByProb" 0.25 0 4 0.2 0 1
"4406" 1 2 4 1 "ByProb" 0.25 0 4 0.2 0 1
"3313" 1 2 5 1 "ByProb" 0.25 0 4 0.2 0 1
"3678" 1 2 6 1 "ByProb" 0.25 0 4 0.2 0 1
"3679" 1 2 7 1 "ByProb" 0.25 0 4 0.2 0 1
"3680" 1 2 8 1 "ByProb" 0.25 0 4 0.2 0 1
"3681" 1 2 9 1 "ByProb" 0.25 0 4 0.2 0 1
"3682" 1 2 10 1 "ByProb" 0.25 0 4 0.2 0 1
"4047" 1 2 11 1 "ByProb" 0.25 0 4 0.2 0 1
"3137" 1 2 12 1 "ByProb" 0.25 0 4 0.2 0 1
"3129" 1 2 13 1 "ByProb" 0.25 0 4 0.2 0 1
"3148" 1 2 14 1 "ByProb" 0.25 0 4 0.2 0 1
"3179" 1 2 15 1 "ByProb" 0.25 0 4 0.2 0 1
"3126" 1 2 16 1 "ByProb" 0.25 0 4 0.2 0 1
"3133" 1 2 17 1 "ByProb" 0.25 0 4 0.2 0 1
"3318" 1 2 18 1 "ByProb" 0.25 0 4 0.2 0 1
"3399" 1 2 19 1 "ByProb" 0.25 0 4 0.2 0 1
"3333" 1 2 20 1 "ByProb" 0.25 0 4 0.2 0 1
"3442" 1 2 21 1 "ByProb" 0.25 0 4 0.2 0 1
"3322" 1 2 22 1 "ByProb" 0.25 0 4 0.2 0 1
"3444" 1 2 23 1 "ByProb" 0.25 0 4 0.2 0 1
"3690" 1 2 24 1 "ByProb" 0.25 0 4 0.2 0 1
"3691" 1 2 25 1 "ByProb" 0.25 0 4 0.2 0 1
"6614" 1 3 1 1 "ByProb" 1 -1 0 0.5 -2 1
"6615" 1 3 2 1 "ByProb" 1 -1 0 0.5 -2 1
"6616" 1 3 3 1 "ByProb" 1 -1 0 0.5 -2 1
"7710" 1 3 4 0 "ByProb" 1 -1 0 0.5 -2 1
"6617" 1 3 5 1 "ByProb" 1 -1 0 0.5 -2 1
"6618" 1 3 6 0 "ByProb" 1 -1 0 0.5 -2 1
"6619" 1 3 7 1 "ByProb" 1 -1 0 0.5 -2 1
