"problem" "Ha" "pHa" "La" "Hb" "pHb" "Lb" "LotNum" "LotShape" "Corr" "Amb"
"1" 31 4 1 4 40 0.6 -44 1 "-" 0 1
"2" 32 24 0.75 -4 82 0.25 3 1 "-" 0 0
"3" 33 -3 1 -3 14 0.4 -22 1 "-" 0 0
"4" 34 7 1 7 27 0.1 4 3 "Symm" 0 0
"5" 35 -5 1 -5 47 0.01 -15 1 "-" 0 0
"6" 36 28 1 28 88 0.6 -46 3 "R-skew" 0 0
"7" 37 23 0.9 0 64 0.4 -7 1 "-" 0 0
"8" 38 24 1 24 34 0.05 28 1 "-" 0 0
"9" 39 29 1 29 33 0.8 6 5 "Symm" 0 0
"10" 40 3 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"11" 41 29 1 29 44 0.4 21 5 "Symm" 0 0
"12" 42 -6 1 -6 54 0.1 -21 1 "-" 0 1
"13" 43 14 1 14 12 0.9 9 1 "-" 0 0
"14" 44 23 1 23 24 0.99 -33 1 "-" 0 0
"15" 45 13 1 13 13 1 13 9 "Symm" 0 0
"16" 46 37 0.01 9 30 0.6 -37 1 "-" 0 0
"17" 47 11 1 11 57 0.2 -5 6 "L-skew" 0 0
"18" 48 -2 1 -2 24 0.5 -24 1 "-" 0 1
"19" 49 23 1 23 23 1 23 3 "Symm" 0 0
"20" 50 4 1 4 4 1 4 9 "Symm" 0 0
"21" 51 42 0.8 -18 68 0.2 23 1 "-" 0 0
"22" 52 46 0.2 0 46 0.25 -2 1 "-" 0 0
"23" 53 28 1 28 42 0.75 -22 1 "-" 0 0
"24" 54 18 1 18 64 0.5 -33 1 "-" 0 0
"25" 55 43 0.2 19 22 0.25 17 9 "Symm" -1 0
"26" 56 -8 1 -8 -5 0.99 -34 1 "-" 0 0
"27" 57 49 0.5 -3 33 0.95 17 9 "Symm" -1 0
"28" 58 85 0.4 -7 40 0.25 24 1 "-" 0 0
"29" 59 17 0.25 16 43 0.4 2 1 "-" 0 0
"30" 60 51 0.1 21 38 0.6 1 1 "-" 0 0
"31" 61 26 0.25 25 29 0.05 24 7 "R-skew" 0 0
"32" 62 25 1 25 45 0.2 17 1 "-" 0 0
"33" 63 17 1 17 60 0.1 15 5 "Symm" 0 0
"34" 64 52 0.1 -8 5 0.9 -43 1 "-" 0 1
"35" 65 12 0.4 -16 -5 1 -5 1 "-" 0 0
"36" 66 45 0.6 2 54 0.1 20 5 "L-skew" 0 0
"37" 67 85 0.25 4 54 0.25 11 1 "-" 1 0
"38" 68 12 1 12 102 0.2 -14 1 "-" 0 0
"39" 69 49 0.5 11 31 0.95 21 3 "Symm" 0 1
"40" 70 18 1 18 35 0.75 -19 1 "-" 0 0
"41" 71 13 0.6 -20 76 0.2 -26 1 "-" 0 0
"42" 72 -9 1 -9 13 0.25 -8 1 "-" 0 0
"43" 73 2 1 2 51 0.05 0 7 "Symm" 0 0
"44" 74 44 0.05 16 14 0.9 10 3 "Symm" 0 1
"45" 75 13 1 13 50 0.6 -45 1 "-" 0 0
"46" 76 35 0.01 16 20 0.5 13 5 "Symm" 0 1
"47" 77 1 1 1 38 0.4 -9 1 "-" 0 0
"48" 78 19 1 19 44 0.05 9 1 "-" 0 0
"49" 79 32 0.01 19 65 0.01 9 1 "-" 0 0
"50" 80 3 1 3 50 0.4 -36 1 "-" 0 0
"51" 81 10 0.25 2 -1 0.9 -32 1 "-" 0 1
"52" 82 25 1 25 26 0.01 25 7 "Symm" 0 1
"53" 83 9 1 9 64 0.01 9 1 "-" 0 0
"54" 84 27 1 27 22 0.99 -7 1 "-" 0 0
"55" 85 20 1 20 70 0.25 6 1 "-" 0 0
"56" 86 71 0.5 -11 61 0.75 -49 1 "-" 0 1
"57" 87 -2 1 -2 4 0.99 -34 7 "Symm" 0 0
"58" 88 17 0.05 -7 13 0.25 -15 1 "-" 0 1
"59" 89 17 1 17 44 0.1 17 1 "-" 0 0
"60" 90 10 1 10 31 0.75 -49 1 "-" 0 0
